ID,Sentence
1,a christmas carol in prose being a ghost story of christmas by charles dickens preface i have endeavoured in this ghostly little book to raise the ghost of an idea which shall not put my readers out of humour with themselves with each other with the season or with me
2,may it haunt their houses pleasantly and no one wish to lay it
3,their faithful friend and servant c d december 1843
4,contents stave i marleys ghost stave ii the first of the three spirits stave iii the second of the three spirits stave iv the last of the spirits stave v the end of it stave i marleys ghost marley was dead to begin with
5,there is no doubt whatever about that
6,the register of his burial was signed by the clergyman the clerk the undertaker and the chief mourner
7,scrooge signed it and scrooges name was good upon change for anything he chose to put his hand to
8,old marley was as dead as a doornail
9,mind i dont mean to say that i know of my own knowledge what there is particularly dead about a doornail
10,i might have been inclined myself to regard a coffinnail as the deadest piece of ironmongery in the trade
11,but the wisdom of our ancestors is in the simile and my unhallowed hands shall not disturb it or the countrys done for
12,you will therefore permit me to repeat emphatically that marley was as dead as a doornail
13,scrooge knew he was dead of course he did
14,how could it be otherwise scrooge and he were partners for i dont know how many years
15,scrooge was his sole executor his sole administrator his sole assign his sole residuary legatee his sole friend and sole mourner
16,and even scrooge was not so dreadfully cut up by the sad event but that he was an excellent man of business on the very day of the funeral and solemnised it with an undoubted bargain
17,the mention of marleys funeral brings me back to the point i started from
18,there is no doubt that marley was dead
19,this must be distinctly understood or nothing wonderful can come of the story i am going to relate
20,if we were not perfectly convinced that hamlets father died before the play began there would be nothing more remarkable in his taking a stroll at night in an easterly wind upon his own ramparts than there would be in any other middleaged gentleman rashly turning out after dark in a breezy spotsay saint pauls churchyard for instance literally to astonish his sons weak mind
21,scrooge never painted out old marleys name
22,there it stood years afterwards above the warehouse door scrooge and marley the firm was known as scrooge and marley sometimes people new to the business called scrooge scrooge and sometimes marley but he answered to both names
23,it was all the same to him
24,oh but he was a tightfisted hand at the grindstone scrooge a squeezing wrenching grasping scraping clutching covetous old sinner hard and sharp as flint from which no steel had ever struck out generous fire secret and selfcontained and solitary as an oyster
25,the cold within him froze his old features nipped his pointed nose shrivelled his cheek stiffened his gait made his eyes red his thin lips blue and spoke out shrewdly in his grating voice
26,a frosty rime was on his head and on his eyebrows and his wiry chin
27,he carried his own low temperature always about with him he iced his office in the dogdays and didnt thaw it one degree at christmas external heat and cold had little influence on scrooge no warmth could warm no wintry weather chill him
28,no wind that blew was bitterer than he no falling snow was more intent upon its purpose no pelting rain less open to entreaty
29,foul weather didnt know where to have him
30,the heaviest rain and snow and hail and sleet could boast of the advantage over him in only one respect
31,they often came down handsomely and scrooge never did
