ID,sentence,sentence_shuffled
1,a christmas carol in prose being a ghost story of christmas by charles dickens preface i have endeavoured in this ghostly little book to raise the ghost of an idea which shall not put my readers out of humour with themselves with each other with the season or with me,ghost themselves an out with being of in raise humour season endeavoured a christmas dickens idea carol story ghost prose preface of of with put not a each the ghostly little readers with this i which christmas have with book to charles shall my the other me by or in
2,may it haunt their houses pleasantly and no one wish to lay it,to haunt it no houses their pleasantly lay it wish one and may
3,their faithful friend and servant c d december 1843,faithful servant and 1843 their c d december friend
4,contents stave i marleys ghost stave ii the first of the three spirits stave iii the second of the three spirits stave iv the last of the spirits stave v the end of it stave i marleys ghost marley was dead to begin with,was ghost spirits dead second stave i ii contents the iii of stave stave the of end stave to of the first spirits marleys i the the the begin stave of the it last three v marleys with marley ghost three spirits iv stave
5,there is no doubt whatever about that,doubt no that about there is whatever
6,the register of his burial was signed by the clergyman the clerk the undertaker and the chief mourner,mourner signed the undertaker and register his burial chief was of the the the by clergyman the clerk
7,scrooge signed it and scrooges name was good upon change for anything he chose to put his hand to,name for his it scrooges chose was to good to scrooge and signed change he put hand anything upon
8,old marley was as dead as a doornail,doornail was as marley old dead as a
9,mind i dont mean to say that i know of my own knowledge what there is particularly dead about a doornail,dead doornail particularly knowledge there of mean i what that say dont i know a to own is about my mind
10,i might have been inclined myself to regard a coffinnail as the deadest piece of ironmongery in the trade,in coffinnail a have the deadest the inclined to might regard of been myself ironmongery trade as piece i
11,but the wisdom of our ancestors is in the simile and my unhallowed hands shall not disturb it or the countrys done for,the simile it or my not is our hands unhallowed shall of ancestors wisdom in and countrys the but the done for disturb
12,you will therefore permit me to repeat emphatically that marley was as dead as a doornail,dead as marley was therefore doornail that to me will permit emphatically repeat a you as
13,scrooge knew he was dead of course he did,was knew of scrooge he did he dead course
14,how could it be otherwise scrooge and he were partners for i dont know how many years,and scrooge could many were be know how he it dont years how partners i otherwise for
15,scrooge was his sole executor his sole administrator his sole assign his sole residuary legatee his sole friend and sole mourner,sole sole his legatee his his his and assign sole mourner sole sole residuary was sole friend administrator executor his scrooge
16,and even scrooge was not so dreadfully cut up by the sad event but that he was an excellent man of business on the very day of the funeral and solemnised it with an undoubted bargain,up sad on the and dreadfully bargain but an and business of very was so it was that even by solemnised scrooge the an day of funeral the undoubted he not event with excellent cut man
17,the mention of marleys funeral brings me back to the point i started from,funeral i mention started point to the the brings me back of from marleys
18,there is no doubt that marley was dead,there is no dead doubt marley was that
19,this must be distinctly understood or nothing wonderful can come of the story i am going to relate,of understood come the nothing or relate can distinctly story going wonderful to this i be am must
20,if we were not perfectly convinced that hamlets father died before the play began there would be nothing more remarkable in his taking a stroll at night in an easterly wind upon his own ramparts than there would be in any other middleaged gentleman rashly turning out after dark in a breezy spotsay saint pauls churchyard for instance literally to astonish his sons weak mind,any died mind for churchyard remarkable ramparts astonish were his be after convinced not breezy in there his nothing the be would father out gentleman saint rashly there stroll a weak we than play an at other literally instance would wind that in spotsay own upon to before perfectly in in turning more sons a taking began dark if his easterly hamlets middleaged pauls night
21,scrooge never painted out old marleys name,never scrooge painted out name marleys old
22,there it stood years afterwards above the warehouse door scrooge and marley the firm was known as scrooge and marley sometimes people new to the business called scrooge scrooge and sometimes marley but he answered to both names,was and it and there and but scrooge called warehouse afterwards both new scrooge answered firm marley years he sometimes sometimes scrooge door known stood people above to the to the as scrooge business marley marley names the
23,it was all the same to him,was to all the him it same
24,oh but he was a tightfisted hand at the grindstone scrooge a squeezing wrenching grasping scraping clutching covetous old sinner hard and sharp as flint from which no steel had ever struck out generous fire secret and selfcontained and solitary as an oyster,as sharp oyster old covetous from selfcontained was tightfisted hand an and solitary secret as steel at ever he which scrooge grasping scraping a squeezing and wrenching sinner oh fire hard generous and clutching a flint struck out grindstone had the but no
25,the cold within him froze his old features nipped his pointed nose shrivelled his cheek stiffened his gait made his eyes red his thin lips blue and spoke out shrewdly in his grating voice,eyes him shrivelled froze voice blue pointed cold his cheek out features grating nose shrewdly his nipped lips his his and the in spoke his made his old stiffened within thin gait red his
26,a frosty rime was on his head and on his eyebrows and his wiry chin,a was chin his rime eyebrows his head and on his wiry on and frosty
27,he carried his own low temperature always about with him he iced his office in the dogdays and didnt thaw it one degree at christmas external heat and cold had little influence on scrooge no warmth could warm no wintry weather chill him,iced scrooge degree it office about external with heat no little temperature weather christmas carried on didnt he chill no own low him one him always warm his and in thaw he at warmth the could his had and dogdays cold influence wintry
28,no wind that blew was bitterer than he no falling snow was more intent upon its purpose no pelting rain less open to entreaty,bitterer no more rain no that falling pelting no less upon blew he was wind its open to purpose than was entreaty snow intent
29,foul weather didnt know where to have him,foul know him to didnt weather where have
30,the heaviest rain and snow and hail and sleet could boast of the advantage over him in only one respect,and over boast could one in respect heaviest the sleet hail only of and snow rain and him advantage the
31,they often came down handsomely and scrooge never did,and often never scrooge they did handsomely came down
32,nobody ever stopped him in the street to say with gladsome looks my dear scrooge how are you when will you come to see me no beggars implored him to bestow a trifle no children asked him what it was oclock no man or woman ever once in all his life inquired the way to such and such a place of scrooge even the blind mens dogs appeared to know him and when they saw him coming on would tug their owners into doorways and up courts and then would wag their tails as though they said no eye at all is better than an evil eye dark master but what did scrooge care it was the very thing he liked,nobody to was and all into than no ever even once a then woman and is know courts doorways no dark him in ever trifle liked oclock eye they in master to life did at looks or a appeared see scrooge it up to an the such my dogs scrooge wag him on are as you him with said when blind him will care way no inquired to scrooge to he children better street of come thing their you man him and all dear was the what gladsome mens owners what coming asked very saw no evil the tug it would his tails and place their the would eye implored bestow say beggars but though they such me stopped when how
33,to edge his way along the crowded paths of life warning all human sympathy to keep its distance was what the knowing ones call nuts to scrooge once upon a timeof all the good days in the year on christmas eveold scrooge sat busy in his countinghouse,the scrooge to scrooge to paths ones in his keep way warning sympathy the edge eveold a year countinghouse busy the all distance was its christmas in good what to once crowded life human on the days sat upon his along timeof all of knowing nuts call
34,it was cold bleak biting weather foggy withal and he could hear the people in the court outside go wheezing up and down beating their hands upon their breasts and stamping their feet upon the pavement stones to warm them,their outside weather bleak stamping cold feet down beating their in the the biting to up hear wheezing foggy and court pavement withal and go upon their people the breasts it them he could hands stones and upon was warm
35,the city clocks had only just gone three but it was quite dark already it had not been light all dayand candles were flaring in the windows of the neighbouring offices like ruddy smears upon the palpable brown air,dark brown palpable three city it air ruddy was it clocks just offices the upon candles windows all like the but of had had already gone only light dayand neighbouring not flaring quite in the smears been were the
36,the fog came pouring in at every chink and keyhole and was so dense without that although the court was of the narrowest the houses opposite were mere phantoms,the was pouring of opposite was houses every in fog court and although the so without the were and mere the dense narrowest phantoms that keyhole came chink at
37,to see the dingy cloud come drooping down obscuring everything one might have thought that nature lived hard by and was brewing on a large scale,thought one nature everything might dingy come on hard was and the down brewing obscuring by a to that see large drooping cloud lived scale have
38,the door of scrooges countinghouse was open that he might keep his eye upon his clerk who in a dismal little cell beyond a sort of tank was copying letters,the countinghouse a who in letters upon was a of beyond that little dismal keep his was eye tank clerk cell door might his he open copying scrooges sort of
39,scrooge had a very small fire but the clerks fire was so very much smaller that it looked like one coal,much very a clerks smaller very had small scrooge coal like one it so the that fire was but fire looked
40,but he couldnt replenish it for scrooge kept the coalbox in his own room and so surely as the clerk came in with the shovel the master predicted that it would be necessary for them to part,and be the part it them necessary for the he own to for surely clerk shovel it coalbox predicted the that with the kept couldnt scrooge master as his would but so came replenish in in room
41,wherefore the clerk put on his white comforter and tried to warm himself at the candle in which effort not being a man of a strong imagination he failed,tried in and of his man he imagination candle strong warm clerk white which wherefore a not effort at on being the to failed the put himself a comforter
42,a merry christmas uncle god save you cried a cheerful voice,merry you a voice christmas save uncle cheerful cried god a
43,it was the voice of scrooges nephew who came upon him so quickly that this was the first intimation he had of his approach,that so first of intimation scrooges quickly who the this his was the came was it him nephew upon voice he approach had of
44,bah said scrooge humbug he had so heated himself with rapid walking in the fog and frost this nephew of scrooges that he was all in a glow his face was ruddy and handsome his eyes sparkled and his breath smoked again,that ruddy nephew had eyes was a himself was sparkled in walking and scrooge rapid the heated smoked glow humbug fog he frost his this face so with handsome bah his said and breath in all again he scrooges of and his
45,christmas a humbug uncle said scrooges nephew,scrooges christmas humbug uncle a said nephew
46,you dont mean that i am sure i do said scrooge merry christmas what right have you to be merry what reason have you to be merry youre poor enough come then returned the nephew gaily,have to merry scrooge be merry reason have come the gaily then i enough youre what said that returned to what am dont do christmas i poor mean you merry sure be you you right nephew
47,what right have you to be dismal what reason have you to be morose youre rich enough scrooge having no better answer ready on the spur of the moment said bah again and followed it up with humbug dont be cross uncle said the nephew,rich bah morose nephew said be it reason of no be dont on be scrooge again what better to what enough the the have having humbug ready with you and cross you said the right answer uncle youre to have spur up dismal moment followed
